code,term
E89820,"Postprocedural hematoma of an endocrine system organ or structure following an endocrine system procedure"
E89821,"Postprocedural hematoma of an endocrine system organ or structure following other procedure"
E89822,"Postprocedural seroma of an endocrine system organ or structure following an endocrine system procedure"
E89823,"Postprocedural seroma of an endocrine system organ or structure following other procedure"
E8989,"Other postprocedural endocrine and metabolic complications and disorders"
F04,"Amnestic disorder due to known physiological condition"
F05,"Delirium due to known physiological condition"
F060,"Psychotic disorder with hallucinations due to known physiological condition"
F061,"Catatonic disorder due to known physiological condition"
F062,"Psychotic disorder with delusions due to known physiological condition"
F0631,"Mood disorder due to known physiological condition with depressive features"
F0632,"Mood disorder due to known physiological condition with major depressive-like episode"
F0633,"Mood disorder due to known physiological condition with manic features"
F0634,"Mood disorder due to known physiological condition with mixed features"
F064,"Anxiety disorder due to known physiological condition"
F0670,"Mild neurocognitive disorder due to known physiological condition without behavioral disturbance"
F0671,"Mild neurocognitive disorder due to known physiological condition with behavioral disturbance"
F068,"Other specified mental disorders due to known physiological condition"
F070,"Personality change due to known physiological condition"
F0781,"Postconcussional syndrome"
F0789,"Other personality and behavioral disorders due to known physiological condition"
F079,"Unspecified personality and behavioral disorder due to known physiological condition"
F09,"Unspecified mental disorder due to known physiological condition"
F10121,"Alcohol abuse with intoxication delirium"
F10131,"Alcohol abuse with withdrawal delirium"
F10132,"Alcohol abuse with withdrawal with perceptual disturbance"
F1014,"Alcohol abuse with alcohol-induced mood disorder"
F10150,"Alcohol abuse with alcohol-induced psychotic disorder with delusions"
F10151,"Alcohol abuse with alcohol-induced psychotic disorder with hallucinations"
F10180,"Alcohol abuse with alcohol-induced anxiety disorder"
F10181,"Alcohol abuse with alcohol-induced sexual dysfunction"
F10182,"Alcohol abuse with alcohol-induced sleep disorder"
F10188,"Alcohol abuse with other alcohol-induced disorder"
F1019,"Alcohol abuse with unspecified alcohol-induced disorder"
F10221,"Alcohol dependence with intoxication delirium"
F10231,"Alcohol dependence with withdrawal delirium"
F10232,"Alcohol dependence with withdrawal with perceptual disturbance"
F1024,"Alcohol dependence with alcohol-induced mood disorder"
F10250,"Alcohol dependence with alcohol-induced psychotic disorder with delusions"
F10251,"Alcohol dependence with alcohol-induced psychotic disorder with hallucinations"
F1026,"Alcohol dependence with alcohol-induced persisting amnestic disorder"
F1027,"Alcohol dependence with alcohol-induced persisting dementia"
F10280,"Alcohol dependence with alcohol-induced anxiety disorder"
F10281,"Alcohol dependence with alcohol-induced sexual dysfunction"
F10282,"Alcohol dependence with alcohol-induced sleep disorder"
F10288,"Alcohol dependence with other alcohol-induced disorder"
F1029,"Alcohol dependence with unspecified alcohol-induced disorder"
F11121,"Opioid abuse with intoxication delirium"
F11122,"Opioid abuse with intoxication with perceptual disturbance"
F1113,"Opioid abuse with withdrawal"
F1114,"Opioid abuse with opioid-induced mood disorder"
F11150,"Opioid abuse with opioid-induced psychotic disorder with delusions"
F11151,"Opioid abuse with opioid-induced psychotic disorder with hallucinations"
F11181,"Opioid abuse with opioid-induced sexual dysfunction"
F11182,"Opioid abuse with opioid-induced sleep disorder"
F11188,"Opioid abuse with other opioid-induced disorder"
F1119,"Opioid abuse with unspecified opioid-induced disorder"
F11221,"Opioid dependence with intoxication delirium"
F11222,"Opioid dependence with intoxication with perceptual disturbance"
F1123,"Opioid dependence with withdrawal"
F1124,"Opioid dependence with opioid-induced mood disorder"
F11250,"Opioid dependence with opioid-induced psychotic disorder with delusions"
F11251,"Opioid dependence with opioid-induced psychotic disorder with hallucinations"
F11281,"Opioid dependence with opioid-induced sexual dysfunction"
F11282,"Opioid dependence with opioid-induced sleep disorder"
F11288,"Opioid dependence with other opioid-induced disorder"
F1129,"Opioid dependence with unspecified opioid-induced disorder"
F12121,"Cannabis abuse with intoxication delirium"
F12122,"Cannabis abuse with intoxication with perceptual disturbance"
F1213,"Cannabis abuse with withdrawal"
F12150,"Cannabis abuse with psychotic disorder with delusions"
F12151,"Cannabis abuse with psychotic disorder with hallucinations"
F12180,"Cannabis abuse with cannabis-induced anxiety disorder"
F12188,"Cannabis abuse with other cannabis-induced disorder"
F1219,"Cannabis abuse with unspecified cannabis-induced disorder"
F12221,"Cannabis dependence with intoxication delirium"
F12222,"Cannabis dependence with intoxication with perceptual disturbance"
F1223,"Cannabis dependence with withdrawal"
F12250,"Cannabis dependence with psychotic disorder with delusions"
F12251,"Cannabis dependence with psychotic disorder with hallucinations"
F12280,"Cannabis dependence with cannabis-induced anxiety disorder"
F12288,"Cannabis dependence with other cannabis-induced disorder"
F1229,"Cannabis dependence with unspecified cannabis-induced disorder"
F14121,"Cocaine abuse with intoxication with delirium"
F14122,"Cocaine abuse with intoxication with perceptual disturbance"
F1414,"Cocaine abuse with cocaine-induced mood disorder"
F14150,"Cocaine abuse with cocaine-induced psychotic disorder with delusions"
F14151,"Cocaine abuse with cocaine-induced psychotic disorder with hallucinations"
F14180,"Cocaine abuse with cocaine-induced anxiety disorder"
F14181,"Cocaine abuse with cocaine-induced sexual dysfunction"
F14182,"Cocaine abuse with cocaine-induced sleep disorder"
F14188,"Cocaine abuse with other cocaine-induced disorder"
F1419,"Cocaine abuse with unspecified cocaine-induced disorder"
F14221,"Cocaine dependence with intoxication delirium"
F14222,"Cocaine dependence with intoxication with perceptual disturbance"
F1423,"Cocaine dependence with withdrawal"
F1424,"Cocaine dependence with cocaine-induced mood disorder"
F14250,"Cocaine dependence with cocaine-induced psychotic disorder with delusions"
F14251,"Cocaine dependence with cocaine-induced psychotic disorder with hallucinations"
F14280,"Cocaine dependence with cocaine-induced anxiety disorder"
F14281,"Cocaine dependence with cocaine-induced sexual dysfunction"
F14282,"Cocaine dependence with cocaine-induced sleep disorder"
F14288,"Cocaine dependence with other cocaine-induced disorder"
F1429,"Cocaine dependence with unspecified cocaine-induced disorder"
F15121,"Other stimulant abuse with intoxication delirium"
F15122,"Other stimulant abuse with intoxication with perceptual disturbance"
F1513,"Other stimulant abuse with withdrawal"
F1514,"Other stimulant abuse with stimulant-induced mood disorder"
F15150,"Other stimulant abuse with stimulant-induced psychotic disorder with delusions"
F15151,"Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations"
F15180,"Other stimulant abuse with stimulant-induced anxiety disorder"
F15181,"Other stimulant abuse with stimulant-induced sexual dysfunction"
F15182,"Other stimulant abuse with stimulant-induced sleep disorder"
F15188,"Other stimulant abuse with other stimulant-induced disorder"
F1519,"Other stimulant abuse with unspecified stimulant-induced disorder"
F15221,"Other stimulant dependence with intoxication delirium"
F15222,"Other stimulant dependence with intoxication with perceptual disturbance"
F1523,"Other stimulant dependence with withdrawal"
F1524,"Other stimulant dependence with stimulant-induced mood disorder"
F15250,"Other stimulant dependence with stimulant-induced psychotic disorder with delusions"
F15251,"Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations"
F15280,"Other stimulant dependence with stimulant-induced anxiety disorder"
F15281,"Other stimulant dependence with stimulant-induced sexual dysfunction"
F15282,"Other stimulant dependence with stimulant-induced sleep disorder"
F15288,"Other stimulant dependence with other stimulant-induced disorder"
F1529,"Other stimulant dependence with unspecified stimulant-induced disorder"
F16121,"Hallucinogen abuse with intoxication with delirium"
F16122,"Hallucinogen abuse with intoxication with perceptual disturbance"
F1614,"Hallucinogen abuse with hallucinogen-induced mood disorder"
F16150,"Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions"
F16151,"Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations"
F16180,"Hallucinogen abuse with hallucinogen-induced anxiety disorder"
F16183,"Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks)"
F16188,"Hallucinogen abuse with other hallucinogen-induced disorder"
F1619,"Hallucinogen abuse with unspecified hallucinogen-induced disorder"
F16221,"Hallucinogen dependence with intoxication with delirium"
F1624,"Hallucinogen dependence with hallucinogen-induced mood disorder"
F16250,"Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions"
F16251,"Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations"
F16280,"Hallucinogen dependence with hallucinogen-induced anxiety disorder"
F16283,"Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks)"
F16288,"Hallucinogen dependence with other hallucinogen-induced disorder"
F1629,"Hallucinogen dependence with unspecified hallucinogen-induced disorder"
F18121,"Inhalant abuse with intoxication delirium"
F1814,"Inhalant abuse with inhalant-induced mood disorder"
F18150,"Inhalant abuse with inhalant-induced psychotic disorder with delusions"
F18151,"Inhalant abuse with inhalant-induced psychotic disorder with hallucinations"
F1817,"Inhalant abuse with inhalant-induced dementia"
F18180,"Inhalant abuse with inhalant-induced anxiety disorder"
F18188,"Inhalant abuse with other inhalant-induced disorder"
F1819,"Inhalant abuse with unspecified inhalant-induced disorder"
F18221,"Inhalant dependence with intoxication delirium"
F1824,"Inhalant dependence with inhalant-induced mood disorder"
F18250,"Inhalant dependence with inhalant-induced psychotic disorder with delusions"
F18251,"Inhalant dependence with inhalant-induced psychotic disorder with hallucinations"
F1827,"Inhalant dependence with inhalant-induced dementia"
F18280,"Inhalant dependence with inhalant-induced anxiety disorder"
F18288,"Inhalant dependence with other inhalant-induced disorder"
F1829,"Inhalant dependence with unspecified inhalant-induced disorder"
F19121,"Other psychoactive substance abuse with intoxication delirium"
F19122,"Other psychoactive substance abuse with intoxication with perceptual disturbances"
F19131,"Other psychoactive substance abuse with withdrawal delirium"
F19132,"Other psychoactive substance abuse with withdrawal with perceptual disturbance"
F1914,"Other psychoactive substance abuse with psychoactive substance-induced mood disorder"
F19150,"Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions"
F19151,"Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations"
F1916,"Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder"
F1917,"Other psychoactive substance abuse with psychoactive substance-induced persisting dementia"
F19180,"Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder"
F19181,"Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction"
F19182,"Other psychoactive substance abuse with psychoactive substance-induced sleep disorder"
F19188,"Other psychoactive substance abuse with other psychoactive substance-induced disorder"
F1919,"Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder"
F19221,"Other psychoactive substance dependence with intoxication delirium"
F19222,"Other psychoactive substance dependence with intoxication with perceptual disturbance"
F19231,"Other psychoactive substance dependence with withdrawal delirium"
F19232,"Other psychoactive substance dependence with withdrawal with perceptual disturbance"
F1924,"Other psychoactive substance dependence with psychoactive substance-induced mood disorder"
F19250,"Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions"
F19251,"Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations"
F1926,"Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder"
F1927,"Other psychoactive substance dependence with psychoactive substance-induced persisting dementia"
F19280,"Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder"
F19281,"Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction"
F19282,"Other psychoactive substance dependence with psychoactive substance-induced sleep disorder"
F19288,"Other psychoactive substance dependence with other psychoactive substance-induced disorder"
F1929,"Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder"
F200,"Paranoid schizophrenia"
F201,"Disorganized schizophrenia"
F202,"Catatonic schizophrenia"
F203,"Undifferentiated schizophrenia"
F205,"Residual schizophrenia"
F2081,"Schizophreniform disorder"
F2089,"Other schizophrenia"
F21,"Schizotypal disorder"
F22,"Delusional disorders"
F23,"Brief psychotic disorder"
F24,"Shared psychotic disorder"
F258,"Other schizoaffective disorders"
F28,"Other psychotic disorder not due to a substance or known physiological condition"
F29,"Unspecified psychosis not due to a substance or known physiological condition"
F303,"Manic episode in partial remission"
F304,"Manic episode in full remission"
F308,"Other manic episodes"
F3181,"Bipolar II disorder"
F3189,"Other bipolar disorder"
F3281,"Premenstrual dysphoric disorder"
F3289,"Other specified depressive episodes"
F338,"Other recurrent depressive disorders"
F340,"Cyclothymic disorder"
F341,"Dysthymic disorder"
F3481,"Disruptive mood dysregulation disorder"
F3489,"Other specified persistent mood disorders"
F39,"Unspecified mood [affective] disorder"
F4001,"Agoraphobia with panic disorder"
F4002,"Agoraphobia without panic disorder"
F40210,"Arachnophobia"
F40218,"Other animal type phobia"
F40220,"Fear of thunderstorms"
F40228,"Other natural environment type phobia"
F40230,"Fear of blood"
F40231,"Fear of injections and transfusions"
F40232,"Fear of other medical care"
F40233,"Fear of injury"
F40240,"Claustrophobia"
F40241,"Acrophobia"
F40242,"Fear of bridges"
F40243,"Fear of flying"
F40248,"Other situational type phobia"
F40290,"Androphobia"
F40291,"Gynephobia"
F40298,"Other specified phobia"
F408,"Other phobic anxiety disorders"
F410,"Panic disorder [episodic paroxysmal anxiety]"
F411,"Generalized anxiety disorder"
F413,"Other mixed anxiety disorders"
F418,"Other specified anxiety disorders"
F422,"Mixed obsessional thoughts and acts"
F423,"Hoarding disorder"
F424,"Excoriation (skin-picking) disorder"
F428,"Other obsessive-compulsive disorder"
F430,"Acute stress reaction"
F4321,"Adjustment disorder with depressed mood"
F4322,"Adjustment disorder with anxiety"
F4323,"Adjustment disorder with mixed anxiety and depressed mood"
F4324,"Adjustment disorder with disturbance of conduct"
F4325,"Adjustment disorder with mixed disturbance of emotions and conduct"
F4329,"Adjustment disorder with other symptoms"
F4381,"Prolonged grief disorder"
F4389,"Other reactions to severe stress"
F440,"Dissociative amnesia"
F441,"Dissociative fugue"
F442,"Dissociative stupor"
F444,"Conversion disorder with motor symptom or deficit"
F445,"Conversion disorder with seizures or convulsions"
F446,"Conversion disorder with sensory symptom or deficit"
F447,"Conversion disorder with mixed symptom presentation"
F4481,"Dissociative identity disorder"
F4489,"Other dissociative and conversion disorders"
F450,"Somatization disorder"
F451,"Undifferentiated somatoform disorder"
F4521,"Hypochondriasis"
F4522,"Body dysmorphic disorder"
F4529,"Other hypochondriacal disorders"
F4541,"Pain disorder exclusively related to psychological factors"
F4542,"Pain disorder with related psychological factors"
F458,"Other somatoform disorders"
F481,"Depersonalization-derealization syndrome"
F482,"Pseudobulbar affect"
F488,"Other specified nonpsychotic mental disorders"
F5082,"Avoidant/restrictive food intake disorder"
F5083,"Pica in adults"
F5084,"Rumination disorder in adults"
F5089,"Other specified eating disorder"
F5101,"Primary insomnia"
F5102,"Adjustment insomnia"
F5103,"Paradoxical insomnia"
F5104,"Psychophysiologic insomnia"
F5105,"Insomnia due to other mental disorder"
F5109,"Other insomnia not due to a substance or known physiological condition"
F5111,"Primary hypersomnia"
F5112,"Insufficient sleep syndrome"
F5113,"Hypersomnia due to other mental disorder"
F5119,"Other hypersomnia not due to a substance or known physiological condition"
F513,"Sleepwalking [somnambulism]"
F514,"Sleep terrors [night terrors]"
F515,"Nightmare disorder"
F518,"Other sleep disorders not due to a substance or known physiological condition"
F520,"Hypoactive sexual desire disorder"
F521,"Sexual aversion disorder"
F5221,"Male erectile disorder"
F5222,"Female sexual arousal disorder"
F5231,"Female orgasmic disorder"
F5232,"Male orgasmic disorder"
F524,"Premature ejaculation"
F525,"Vaginismus not due to a substance or known physiological condition"
F526,"Dyspareunia not due to a substance or known physiological condition"
F528,"Other sexual dysfunction not due to a substance or known physiological condition"
F529,"Unspecified sexual dysfunction not due to a substance or known physiological condition"
F530,"Postpartum depression"
F531,"Puerperal psychosis"
F54,"Psychological and behavioral factors associated with disorders or diseases classified elsewhere"
F550,"Abuse of antacids"
F551,"Abuse of herbal or folk remedies"
F552,"Abuse of laxatives"
F553,"Abuse of steroids or hormones"
F554,"Abuse of vitamins"
F558,"Abuse of other non-psychoactive substances"
F59,"Unspecified behavioral syndromes associated with physiological disturbances and physical factors"
F600,"Paranoid personality disorder"
F601,"Schizoid personality disorder"
F602,"Antisocial personality disorder"
F603,"Borderline personality disorder"
F604,"Histrionic personality disorder"
F605,"Obsessive-compulsive personality disorder"
F606,"Avoidant personality disorder"
F607,"Dependent personality disorder"
F6081,"Narcissistic personality disorder"
F6089,"Other specific personality disorders"
F630,"Pathological gambling"
F631,"Pyromania"
F632,"Kleptomania"
F633,"Trichotillomania"
F6381,"Intermittent explosive disorder"
F6389,"Other impulse disorders"
F640,"Transsexualism"
F641,"Dual role transvestism"
F642,"Gender identity disorder of childhood"
F648,"Other gender identity disorders"
F650,"Fetishism"
F651,"Transvestic fetishism"
F652,"Exhibitionism"
F653,"Voyeurism"
F654,"Pedophilia"
F6551,"Sexual masochism"
F6552,"Sexual sadism"
F6581,"Frotteurism"
F6589,"Other paraphilias"
F66,"Other sexual disorders"
F688,"Other specified disorders of adult personality and behavior"
F68A,"Factitious disorder imposed on another"
F69,"Unspecified disorder of adult personality and behavior"
F70,"Mild intellectual disabilities"
F71,"Moderate intellectual disabilities"
F72,"Severe intellectual disabilities"
F73,"Profound intellectual disabilities"
F78A1,"SYNGAP1-related intellectual disability"
F78A9,"Other genetic related intellectual disability"
F79,"Unspecified intellectual disabilities"
F800,"Phonological disorder"
F801,"Expressive language disorder"
F802,"Mixed receptive-expressive language disorder"
F804,"Speech and language development delay due to hearing loss"
F8081,"Childhood onset fluency disorder"
F8082,"Social pragmatic communication disorder"
F8089,"Other developmental disorders of speech and language"
F810,"Specific reading disorder"
F812,"Mathematics disorder"
F8181,"Disorder of written expression"
F8189,"Other developmental disorders of scholastic skills"
F82,"Specific developmental disorder of motor function"
F840,"Autistic disorder"
F842,"Rett's syndrome"
F843,"Other childhood disintegrative disorder"
F845,"Asperger's syndrome"
F848,"Other pervasive developmental disorders"
F88,"Other disorders of psychological development"
F89,"Unspecified disorder of psychological development"
F910,"Conduct disorder confined to family context"
F913,"Oppositional defiant disorder"
F918,"Other conduct disorders"
F930,"Separation anxiety disorder of childhood"
F938,"Other childhood emotional disorders"
F940,"Selective mutism"
F941,"Reactive attachment disorder of childhood"
F942,"Disinhibited attachment disorder of childhood"
F948,"Other childhood disorders of social functioning"
F950,"Transient tic disorder"
F951,"Chronic motor or vocal tic disorder"
F952,"Tourette's disorder"
F958,"Other tic disorders"
F980,"Enuresis not due to a substance or known physiological condition"
F981,"Encopresis not due to a substance or known physiological condition"
F9821,"Rumination disorder of infancy and childhood"
F9829,"Other feeding disorders of infancy and early childhood"
F983,"Pica of infancy and childhood"
F984,"Stereotyped movement disorders"
F985,"Adult onset fluency disorder"
F988,"Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence"
F989,"Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence"
G000,"Hemophilus meningitis"
G001,"Pneumococcal meningitis"
G002,"Streptococcal meningitis"
G003,"Staphylococcal meningitis"
G008,"Other bacterial meningitis"
G01,"Meningitis in bacterial diseases classified elsewhere"
G02,"Meningitis in other infectious and parasitic diseases classified elsewhere"
G030,"Nonpyogenic meningitis"
G031,"Chronic meningitis"
G032,"Benign recurrent meningitis [Mollaret]"
G038,"Meningitis due to other specified causes"
G0401,"Postinfectious acute disseminated encephalitis and encephalomyelitis (postinfectious ADEM)"
G041,"Tropical spastic paraplegia"
G0431,"Postinfectious acute necrotizing hemorrhagic encephalopathy"
G0432,"Postimmunization acute necrotizing hemorrhagic encephalopathy"
G0439,"Other acute necrotizing hemorrhagic encephalopathy"
G0481,"Other encephalitis and encephalomyelitis"
G0482,"Acute flaccid myelitis"
G0489,"Other myelitis"
G053,"Encephalitis and encephalomyelitis in diseases classified elsewhere"
G054,"Myelitis in diseases classified elsewhere"
G060,"Intracranial abscess and granuloma"
G061,"Intraspinal abscess and granuloma"
G07,"Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere"
G08,"Intracranial and intraspinal phlebitis and thrombophlebitis"
G09,"Sequelae of inflammatory diseases of central nervous system"
G10,"Huntington's disease"
G110,"Congenital nonprogressive ataxia"
G1111,"Friedreich ataxia"
G1119,"Other early-onset cerebellar ataxia"
G112,"Late-onset cerebellar ataxia"
G113,"Cerebellar ataxia with defective DNA repair"
G114,"Hereditary spastic paraplegia"
G115,"Hypomyelination - hypogonadotropic hypogonadism - hypodontia"
G116,"Leukodystrophy with vanishing white matter disease"
G118,"Other hereditary ataxias"
G121,"Other inherited spinal muscular atrophy"
G1221,"Amyotrophic lateral sclerosis"
G1222,"Progressive bulbar palsy"
G1223,"Primary lateral sclerosis"
G1224,"Familial motor neuron disease"
G1225,"Progressive spinal muscle atrophy"
G1229,"Other motor neuron disease"
G128,"Other spinal muscular atrophies and related syndromes"
G130,"Paraneoplastic neuromyopathy and neuropathy"
G131,"Other systemic atrophy primarily affecting central nervous system in neoplastic disease"
G132,"Systemic atrophy primarily affecting the central nervous system in myxedema"
G138,"Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere"
G14,"Postpolio syndrome"
G210,"Malignant neuroleptic syndrome"
G2111,"Neuroleptic induced parkinsonism"
G2119,"Other drug induced secondary parkinsonism"
G212,"Secondary parkinsonism due to other external agents"
G213,"Postencephalitic parkinsonism"
G214,"Vascular parkinsonism"
G218,"Other secondary parkinsonism"
G230,"Hallervorden-Spatz disease"
G231,"Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]"
G232,"Striatonigral degeneration"
G233,"Hypomyelination with atrophy of the basal ganglia and cerebellum"
G238,"Other specified degenerative diseases of basal ganglia"
G2401,"Drug induced subacute dyskinesia"
G2402,"Drug induced acute dystonia"
G2409,"Other drug induced dystonia"
G241,"Genetic torsion dystonia"
G242,"Idiopathic nonfamilial dystonia"
G243,"Spasmodic torticollis"
G244,"Idiopathic orofacial dystonia"
G245,"Blepharospasm"
G248,"Other dystonia"
G250,"Essential tremor"
G251,"Drug-induced tremor"
G252,"Other specified forms of tremor"
G253,"Myoclonus"
G254,"Drug-induced chorea"
G255,"Other chorea"
G2561,"Drug induced tics"
G2569,"Other tics of organic origin"
G2571,"Drug induced akathisia"
G2579,"Other drug induced movement disorders"
G2581,"Restless legs syndrome"
G2582,"Stiff-man syndrome"
G2583,"Benign shuddering attacks"
G2589,"Other specified extrapyramidal and movement disorders"
G26,"Extrapyramidal and movement disorders in diseases classified elsewhere"
G300,"Alzheimer's disease with early onset"
G301,"Alzheimer's disease with late onset"
G308,"Other Alzheimer's disease"
G3101,"Pick's disease"
G3109,"Other frontotemporal neurocognitive disorder"
G312,"Degeneration of nervous system due to alcohol"
G3181,"Alpers disease"
G3182,"Leigh's disease"
G3183,"Neurocognitive disorder with Lewy bodies"
G3184,"Mild cognitive impairment of uncertain or unknown etiology"
G3185,"Corticobasal degeneration"
G3186,"Alexander disease"
G3187,"Primary progressive apraxia of speech"
G3189,"Other specified degenerative diseases of nervous system"
G320,"Subacute combined degeneration of spinal cord in diseases classified elsewhere"
G3281,"Cerebellar ataxia in diseases classified elsewhere"
G3289,"Other specified degenerative disorders of nervous system in diseases classified elsewhere"
G35A,"Relapsing-remitting multiple sclerosis"
G35B1,"Active primary progressive multiple sclerosis"
G35B2,"Non-active primary progressive multiple sclerosis"
G35C1,"Active secondary progressive multiple sclerosis"
G35C2,"Non-active secondary progressive multiple sclerosis"
G360,"Neuromyelitis optica [Devic]"
G361,"Acute and subacute hemorrhagic leukoencephalitis [Hurst]"
G368,"Other specified acute disseminated demyelination"
G370,"Diffuse sclerosis of central nervous system"
G371,"Central demyelination of corpus callosum"
G372,"Central pontine myelinolysis"
G373,"Acute transverse myelitis in demyelinating disease of central nervous system"
G374,"Subacute necrotizing myelitis of central nervous system"
G375,"Concentric sclerosis [Balo] of central nervous system"
G3781,"Myelin oligodendrocyte glycoprotein antibody disease"
G3789,"Other specified demyelinating diseases of central nervous system"
G4042,"Cyclin-Dependent Kinase-Like 5 Deficiency Disorder"
G4089,"Other seizures"
G4451,"Hemicrania continua"
G4452,"New daily persistent headache (NDPH)"
G4453,"Primary thunderclap headache"
G4459,"Other complicated headache syndrome"
G4481,"Hypnic headache"
G4482,"Headache associated with sexual activity"
G4483,"Primary cough headache"
G4484,"Primary exertional headache"
G4485,"Primary stabbing headache"
G4486,"Cervicogenic headache"
G4489,"Other headache syndrome"
G450,"Vertebro-basilar artery syndrome"
G451,"Carotid artery syndrome (hemispheric)"
G452,"Multiple and bilateral precerebral artery syndromes"
G453,"Amaurosis fugax"
G454,"Transient global amnesia"
G458,"Other transient cerebral ischemic attacks and related syndromes"
G460,"Middle cerebral artery syndrome"
G461,"Anterior cerebral artery syndrome"
G462,"Posterior cerebral artery syndrome"
G463,"Brain stem stroke syndrome"
G464,"Cerebellar stroke syndrome"
G465,"Pure motor lacunar syndrome"
G466,"Pure sensory lacunar syndrome"
G467,"Other lacunar syndromes"
G468,"Other vascular syndromes of brain in cerebrovascular diseases"
G4701,"Insomnia due to medical condition"
G4709,"Other insomnia"
G4711,"Idiopathic hypersomnia with long sleep time"
G4712,"Idiopathic hypersomnia without long sleep time"
G4713,"Recurrent hypersomnia"
G4714,"Hypersomnia due to medical condition"
G4719,"Other hypersomnia"
G4727,"Circadian rhythm sleep disorder in conditions classified elsewhere"
G4729,"Other circadian rhythm sleep disorder"
G4731,"Primary central sleep apnea"
G4732,"High altitude periodic breathing"
G4733,"Obstructive sleep apnea (adult) (pediatric)"
G4734,"Idiopathic sleep related nonobstructive alveolar hypoventilation"
G4735,"Congenital central alveolar hypoventilation syndrome"
G4736,"Sleep related hypoventilation in conditions classified elsewhere"
G4737,"Central sleep apnea in conditions classified elsewhere"
G4739,"Other sleep apnea"
G47411,"Narcolepsy with cataplexy"
G47419,"Narcolepsy without cataplexy"
G47421,"Narcolepsy in conditions classified elsewhere with cataplexy"
G47429,"Narcolepsy in conditions classified elsewhere without cataplexy"
G4751,"Confusional arousals"
G4752,"REM sleep behavior disorder"
G4753,"Recurrent isolated sleep paralysis"
G4754,"Parasomnia in conditions classified elsewhere"
G4759,"Other parasomnia"
G4761,"Periodic limb movement disorder"
G4762,"Sleep related leg cramps"
G4763,"Sleep related bruxism"
G4769,"Other sleep related movement disorders"
G478,"Other sleep disorders"
G500,"Trigeminal neuralgia"
G501,"Atypical facial pain"
G508,"Other disorders of trigeminal nerve"
G510,"Bell's palsy"
G511,"Geniculate ganglionitis"
G512,"Melkersson's syndrome"
G514,"Facial myokymia"
G518,"Other disorders of facial nerve"
G520,"Disorders of olfactory nerve"
G521,"Disorders of glossopharyngeal nerve"
G522,"Disorders of vagus nerve"
G523,"Disorders of hypoglossal nerve"
G527,"Disorders of multiple cranial nerves"
G528,"Disorders of other specified cranial nerves"
G53,"Cranial nerve disorders in diseases classified elsewhere"
G540,"Brachial plexus disorders"
G541,"Lumbosacral plexus disorders"
G545,"Neuralgic amyotrophy"
G546,"Phantom limb syndrome with pain"
G547,"Phantom limb syndrome without pain"
G548,"Other nerve root and plexus disorders"
G55,"Nerve root and plexus compressions in diseases classified elsewhere"
G5640,"Causalgia of unspecified upper limb"
G5641,"Causalgia of right upper limb"
G5642,"Causalgia of left upper limb"
G5643,"Causalgia of bilateral upper limbs"
G5680,"Other specified mononeuropathies of unspecified upper limb"
G5681,"Other specified mononeuropathies of right upper limb"
G5682,"Other specified mononeuropathies of left upper limb"
G5683,"Other specified mononeuropathies of bilateral upper limbs"
G5690,"Unspecified mononeuropathy of unspecified upper limb"
G5691,"Unspecified mononeuropathy of right upper limb"
G5692,"Unspecified mononeuropathy of left upper limb"
G5693,"Unspecified mononeuropathy of bilateral upper limbs"
G5770,"Causalgia of unspecified lower limb"
G5771,"Causalgia of right lower limb"
G5772,"Causalgia of left lower limb"
G5773,"Causalgia of bilateral lower limbs"
G5780,"Other specified mononeuropathies of unspecified lower limb"
G5781,"Other specified mononeuropathies of right lower limb"
G5782,"Other specified mononeuropathies of left lower limb"
G5783,"Other specified mononeuropathies of bilateral lower limbs"
G5790,"Unspecified mononeuropathy of unspecified lower limb"
G5791,"Unspecified mononeuropathy of right lower limb"
G5792,"Unspecified mononeuropathy of left lower limb"
